id,name,lat,lon,address,zipCode,websiteUrl,id_cat,cat,type,city,state
2916,Piscine Suzanne Berlioux (Les Halles),48.8623474,2.3458559,forum des Halles,75001,http://equipement.paris.fr/piscine-suzanne-berlioux-(les-halles)-2916,27,Swimming Pool,,Paris,Visited
2918,Piscine Pontoise,48.849236,2.3515816,"19, rue de Pontoise",75005,http://equipement.paris.fr/piscine-pontoise-2918,27,Swimming Pool,,Paris,Visited
2919,Piscine Saint-Germain,48.851669,2.335931,"12, rue Lobineau ",75006,http://equipement.paris.fr/piscine-saint-germain-2919,27,Swimming Pool,,Paris,Visited
2920,Piscine Georges Drigny,48.881893,2.342184,"18, rue Bochart de Saron ",75009,http://equipement.paris.fr/piscine-georges-drigny-2920,27,Swimming Pool,,Paris,Visited
2921,Piscine Paul Valeyre,48.8781484,2.3449489,"24, rue de Rochechouart",75009,http://equipement.paris.fr/piscine-paul-valeyre-2921,27,Swimming Pool,,Paris,Visited
2923,Piscine Château-Landon,48.883221,2.363909,"31, rue du château-Landon ",75010,http://equipement.paris.fr/piscine-château-landon-2923,27,Swimming Pool,,Paris,Visited
2924,Piscine Georges Rigal,48.856609,2.394056,"115, boulevard de Charonne ",75011,http://equipement.paris.fr/piscine-georges-rigal-2924,27,Swimming Pool,,Paris,Visited
2925,Piscine de la Cour des Lions,48.860626,2.370507,"9, rue Alphonse Baudin ",75011,http://equipement.paris.fr/piscine-de-la-cour-des-lions-2925,27,Swimming Pool,,Paris,Visited
2926,Piscine Jean Boiteux ex Reuilly,48.841927,2.389423,"13, rue Hénard ",75012,http://equipement.paris.fr/piscine-jean-boiteux-ex-reuilly-2926,27,Swimming Pool,,Paris,Visited
2927,Piscine de la Butte aux Cailles,48.8274283,2.3524749,"5, place Paul Verlaine",75013,http://equipement.paris.fr/piscine-de-la-butte-aux-cailles-2927,27,Swimming Pool,,Paris,Visited
2928,Piscine Château des Rentiers,48.830406,2.3619,"184, rue du Château des Rentiers ",75013,http://equipement.paris.fr/piscine-château-des-rentiers-2928,27,Swimming Pool,,Paris,Visited
2929,Piscine Dunois,48.832973,2.366437,"70, rue Dunois ",75013,http://equipement.paris.fr/piscine-dunois-2929,27,Swimming Pool,,Paris,Visited
2930,Piscine Joséphine-Baker,48.8338944,2.3775918,quai François Mauriac - Quai de la Gare,75013,http://equipement.paris.fr/piscine-joséphine-baker-2930,27,Swimming Pool,,Paris,Visited
2931,Piscine Aspirant Dunand,48.831699,2.326708,"20, rue Saillard ",75014,http://equipement.paris.fr/piscine-aspirant-dunand-2931,27,Swimming Pool,,Paris,Visited
2932,Piscine Didot,48.824276,2.309616,"22, avenue Georges Lafenestre ",75014,http://equipement.paris.fr/piscine-didot-2932,27,Swimming Pool,,Paris,Visited
2933,Piscine Armand Massard,48.844036,2.323341,66 boulevard du Montparnasse ,75015,http://equipement.paris.fr/piscine-armand-massard-2933,27,Swimming Pool,,Paris,Visited
2935,Piscine Emile Anthoine (bassin mobile),48.8572006,2.2911543,"2, avenue de Suffren",75015,http://equipement.paris.fr/piscine-emile-anthoine-(bassin-mobile)-2935,27,Swimming Pool,,Paris,Visited
2936,Piscine Keller,48.8473705,2.2820431,"14, rue de l\'Ingénieur Robert-Keller",75015,http://equipement.paris.fr/piscine-keller-2936,27,Swimming Pool,,Paris,Visited
2937,Piscine La Plaine,48.827991,2.292976,"13, rue du Général Guillaumat ",75015,http://equipement.paris.fr/piscine-la-plaine-2937,27,Swimming Pool,,Paris,Visited
2938,Piscine René et André Mourlon,48.848824,2.284898,"19, rue Gaston de Caillavet ",75015,http://equipement.paris.fr/piscine-rené-et-andré-mourlon-2938,27,Swimming Pool,,Paris,Not yet visited
2939,Piscine Henry de Montherlant,48.867092,2.271985,"30, boulevard Lannes ",75016,http://equipement.paris.fr/piscine-henry-de-montherlant-2939,27,Swimming Pool,,Paris,Visited
2940,Piscine Bernard Lafay,48.894707,2.318883,"79, rue de la Jonquière ",75017,http://equipement.paris.fr/piscine-bernard-lafay-2940,27,Swimming Pool,,Paris,Visited
2941,Piscine Champerret,48.888275,2.295667,"36, boulevard de Reims ",75017,http://equipement.paris.fr/piscine-champerret-2941,27,Swimming Pool,,Paris,Visited
2942,Piscine Bertrand Dauvin,48.899296,2.342513,"12, rue René Binet ",75018,http://equipement.paris.fr/piscine-bertrand-dauvin-2942,27,Swimming Pool,,Paris,Not yet visited
2943,Piscine Hébert,48.8940677,2.3632265,"2, rue des Fillettes",75018,http://equipement.paris.fr/piscine-hébert-2943,27,Swimming Pool,,Paris,Not yet visited
2944,Piscine des Amiraux,48.894421,2.350622,"6, rue Hermann Lachapelle ",75018,http://equipement.paris.fr/piscine-des-amiraux-2944,27,Swimming Pool,,Paris,Not yet visited
2945,Piscine Edouard Pailleron,48.880829,2.377323,"32, rue Edouard Pailleron ",75019,http://equipement.paris.fr/piscine-edouard-pailleron-2945,27,Swimming Pool,,Paris,Visited
2946,Piscine Mathis,48.890816,2.375107,"15, rue Mathis ",75019,http://equipement.paris.fr/piscine-mathis-2946,27,Swimming Pool,,Paris,Visited
2947,Piscine Rouvet,48.893188,2.385029,"1, rue Rouvet ",75019,http://equipement.paris.fr/piscine-rouvet-2947,27,Swimming Pool,,Paris,Visited
2948,Piscine Georges Hermant,48.8826541,2.3896377,"8-10, rue David d Angers",75019,http://equipement.paris.fr/piscine-georges-hermant-2948,27,Swimming Pool,,Paris,Visited
2949,Piscine Georges-Vallerey,48.875381,2.405829,"148, avenue Gambetta ",75020,http://equipement.paris.fr/piscine-georges-vallerey-2949,27,Swimming Pool,,Paris,Visited
2950,Piscine Roger Le Gall,48.842007,2.413147,"34, boulevard Carnot ",75012,http://equipement.paris.fr/piscine-roger-le-gall-2950,27,Swimming Pool,,Paris,Visited
3324,Piscine d'Auteuil,48.8583926,2.26091,"1, Route des Lacs à Passy",75016,http://equipement.paris.fr/piscine-d-auteuil-3324,27,Swimming Pool,,Paris,Visited
3325,Piscine Jean Taris,48.8447257,2.3479414,"16, rue Thouin",75005,http://equipement.paris.fr/piscine-jean-taris-3325,27,Swimming Pool,,Paris,Visited
4012,Piscine Alfred Nakache,48.871498,2.378612,"4-12, rue Dénoyez ",75020,http://equipement.paris.fr/piscine-alfred-nakache-4012,27,Swimming Pool,,Paris,Visited
5041,Piscine Catherine Lagatu ex Parmentier,48.871693,2.369786,155 avenue Parmentier,75010,http://equipement.paris.fr/piscine-catherine-lagatu-ex-parmentier-5041,27,Swimming Pool,,Paris,Visited
17349,Piscine Jacqueline Auriol ex Beaujon,48.8765928,2.3070016,7 Allée Louis de Funès,75008,http://equipement.paris.fr/piscine-jacqueline-auriol-ex-beaujon-17349,27,Swimming Pool,,Paris,Visited
2965,Tennis Alain Mimoun ex Paul Valéry,48.837959,2.410325,15 Rue de la Nouvelle-Calédonie ,75012,http://equipement.paris.fr/tennis-alain-mimoun-ex-paul-valéry-2965,280,Tennis,,Paris,Not yet visited
2966,Tennis Georges Carpentier,48.820801,2.366817,81 Boulevard Masséna ,75013,http://equipement.paris.fr/tennis-georges-carpentier-2966,280,Tennis,,Paris,Not yet visited
2967,Tennis Moureu Baudricourt,48.82777,2.364578,17 Avenue Edison ,75013,http://equipement.paris.fr/tennis-moureu-baudricourt-2967,280,Tennis,,Paris,Visited
2968,Tennis Château des Rentiers,48.830406,2.3619,184 Rue du château des Rentiers ,75013,http://equipement.paris.fr/tennis-château-des-rentiers-2968,280,Tennis,,Paris,Not yet visited
2969,Tennis Cordelières,48.833435,2.348546,35 Rue des Cordelières ,75013,http://equipement.paris.fr/tennis-cordelières-2969,280,Tennis,,Paris,Not yet visited
2970,Tennis Dunois,48.833035,2.366424,70 Rue Dunois,75013,http://equipement.paris.fr/tennis-dunois-2970,280,Tennis,,Paris,Not yet visited
2971,Tennis de la Poterne des Peupliers,48.820278,2.354112,1 Rue Max Jacob ,75013,http://equipement.paris.fr/tennis-de-la-poterne-des-peupliers-2971,280,Tennis,,Paris,Not yet visited
2972,Tennis Elisabeth,48.821259,2.328693,7 Avenue Paul Appell ,75014,http://equipement.paris.fr/tennis-elisabeth-2972,280,Tennis,,Paris,Not yet visited
2977,Tennis André et René Mourlon,48.848873,2.284738,19 Rue Gaston de Caillavet ,75015,http://equipement.paris.fr/tennis-andré-et-rené-mourlon-2977,280,Tennis,,Paris,Not yet visited
2978,Tennis Sablonnière,48.843792,2.302382,62 Rue Cambronne ,75015,http://equipement.paris.fr/tennis-sablonnière-2978,280,Tennis,,Paris,Not yet visited
2979,Tennis Suzanne Lenglen,48.833035,2.277919,2 rue Louis Armand ,75015,http://equipement.paris.fr/tennis-suzanne-lenglen-2979,280,Tennis,,Paris,Not yet visited
2980,Tennis Henry de Montherlant,48.867447,2.272296,30 Boulevard Lannes ,75016,http://equipement.paris.fr/tennis-henry-de-montherlant-2980,280,Tennis,,Paris,Not yet visited
